14,14,14,15,13,17,17,16,17,16,17,16,14,17,17,14,15,17,17,16,1
5,5,7,5,5,7,7,7,7,7,7,7,4,7,7,5,5,7,7,7,1
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0
11,11,11,10,10,10,10,11,10,10,10,11,11,10,10,10,10,10,11,9,0
8,8,8,8,8,6,6,5,6,6,6,6,8,5,6,8,8,5,5,9,1
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1
3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,1,3,3,3,3,1
27,27,27,26,27,44,44,43,44,44,43,43,27,44,43,27,27,27,44,42,1
1,1,2,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1
1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,2,2,1,1
1,1,1,2,1,3,5,3,4,4,5,3,1,3,4,1,4,4,4,5,1
16,14,16,17,15,17,17,17,17,17,17,16,16,18,17,14,18,16,17,16,1
3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,0
12,12,12,12,12,13,13,13,12,12,12,12,12,12,13,11,12,12,12,13,0
5,5,9,5,5,9,9,9,9,9,9,9,6,9,9,5,6,9,9,9,1
17,17,17,16,18,18,18,18,18,18,17,17,17,18,18,17,16,17,21,21,0
8,8,8,8,8,7,7,7,7,7,8,7,8,7,7,6,6,8,7,7,1
11,11,12,11,11,12,12,12,13,13,12,12,12,14,12,11,13,13,13,12,0
5,5,7,5,5,7,7,7,8,8,7,7,5,8,7,5,5,8,8,7,1
69,69,52,69,69,52,52,52,56,53,54,52,69,56,55,69,69,53,54,54,1
38,38,31,28,38,33,32,32,31,31,31,30,38,30,31,37,29,31,31,28,1
21,21,21,24,22,26,26,26,27,27,21,26,21,28,26,22,26,21,28,27,1
58,58,58,58,58,58,58,58,59,58,60,58,58,57,58,58,58,58,54,54,0
16,16,16,16,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0
9,9,9,7,9,9,9,10,9,9,9,10,9,8,9,10,8,8,9,9,0
16,10,11,14,10,14,14,14,14,13,14,12,13,14,14,10,14,12,14,12,1
9,9,9,8,9,9,9,9,7,7,9,9,9,7,9,6,6,7,7,9,1
16,16,14,16,16,14,14,14,15,15,14,14,16,14,14,17,16,14,15,14,1
9,9,9,9,9,9,9,8,8,9,9,8,9,8,9,8,7,9,8,9,1
99,99,99,99,101,20,20,21,20,20,20,19,99,20,20,99,13,20,19,19,3
221,221,221,232,219,219,220,219,222,221,219,218,221,222,219,222,234,221,221,192,0
18,18,18,18,18,45,45,46,46,46,45,45,18,45,45,22,19,46,45,43,1
31,31,31,31,31,44,44,44,45,45,44,44,31,44,44,34,33,40,44,43,1
4,4,5,4,4,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,1
9,9,9,9,10,7,7,7,7,7,7,6,9,7,7,9,6,7,6,7,3
7,7,7,6,8,3,3,2,3,3,7,2,7,3,2,8,8,7,3,2,1
19,19,19,18,19,19,19,19,20,20,19,18,19,20,19,20,19,19,24,24,2
58,58,58,58,58,86,86,86,90,90,85,86,58,89,85,61,60,58,90,84,1
7,7,7,5,6,13,11,10,13,12,14,14,7,11,10,6,5,8,8,7,1
14,13,13,13,13,13,13,13,13,13,13,13,12,13,13,13,12,13,13,13,0
39,39,39,36,39,29,29,29,28,28,39,29,39,29,29,39,36,39,29,30,1
16,16,16,17,18,17,16,18,19,20,18,19,16,19,19,17,15,20,19,16,1
12,10,12,11,11,12,12,13,12,12,12,13,12,12,12,11,12,13,13,11,0
17,17,17,17,17,28,28,28,29,29,28,28,17,29,28,15,16,17,29,27,1
16,16,16,16,16,23,23,23,23,23,23,23,16,23,23,15,16,23,23,23,1
29,29,29,25,28,20,20,20,20,20,20,20,29,20,20,28,23,27,20,21,1
25,25,34,27,24,33,34,33,33,34,33,33,25,33,33,25,29,32,33,28,1
5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,6,0
14,14,14,14,13,15,15,15,14,14,14,15,14,15,15,14,14,14,15,14,0
6,6,6,6,6,6,4,4,4,4,3,3,6,3,4,6,3,3,3,4,1
7,7,11,7,7,11,11,11,11,11,11,11,8,11,11,7,8,11,11,11,1
3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1
20,20,20,19,19,20,20,20,21,21,20,19,20,21,21,20,19,20,25,22,0
33,33,33,27,33,25,25,25,24,25,33,25,33,25,25,33,27,33,26,27,1
10,10,10,11,8,10,8,8,7,9,9,8,10,9,9,9,8,9,8,10,1
126,126,126,126,126,126,126,127,130,129,126,127,126,130,127,126,126,126,108,117,0
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,0
11,11,11,12,11,12,12,12,13,13,12,12,11,12,11,11,11,13,13,12,0
11,11,11,11,11,12,12,12,10,11,10,12,11,10,12,10,10,11,11,12,0
18,18,18,11,16,11,12,11,11,12,12,12,18,12,12,17,11,12,12,11,3
8,8,8,8,9,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,0
10,10,10,7,10,9,9,9,8,9,8,9,10,9,8,10,7,8,8,8,1
1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1
35,35,25,21,36,25,25,25,24,24,24,24,35,24,24,36,22,25,24,20,1
10,10,10,10,11,9,9,8,9,9,8,9,10,8,8,11,8,9,9,9,1
17,17,17,17,17,17,17,17,17,17,17,17,17,18,17,17,17,17,19,19,0
13,13,13,13,14,16,16,16,16,16,16,16,13,16,16,14,7,16,16,16,1
8,8,8,8,8,8,9,8,9,9,8,8,8,8,8,8,8,8,9,8,0
18,18,18,16,17,17,17,17,17,17,16,16,18,17,17,17,18,17,16,17,0
5,5,5,5,5,6,5,5,5,6,6,5,5,5,5,5,5,5,6,5,0
33,33,21,33,33,21,21,21,21,21,21,21,33,21,21,33,34,21,21,21,1
9,9,9,9,9,10,10,10,9,9,10,10,9,9,10,9,9,9,9,10,0
18,18,18,18,18,18,18,18,19,19,18,18,18,19,18,18,18,18,20,22,0
13,13,12,13,13,12,11,11,11,11,12,11,12,11,11,13,13,11,11,11,0
20,20,20,20,20,20,20,21,21,21,20,20,20,21,20,20,20,20,21,20,0
